pinyin	unattested
ā	
á	
ǎ	
à	
a	
	
āi	
ái	
ǎi	
ài	
ai	
	
ān	
án	
ǎn	
àn	
an	
	
āng	
áng	
ǎng	
àng	
ang	
	
āo	
áo	
ǎo	
ào	
ao	
	
bā	
bá	
bǎ	
bà	
ba	
	
bāi	
bái	
bǎi	
bài	
bai	
	
bān	
bán	True
bǎn	
bàn	
ban	
	
bāng	
báng	True
bǎng	
bàng	
bang	
	
bāo	
báo	
bǎo	
bào	
bao	
	
bēi	
béi	
běi	
bèi	
bei	
	
bēn	
bén	True
běn	
bèn	
ben	
	
bēng	
béng	True
běng	
bèng	
beng	
	
bī	
bí	
bǐ	
bì	
bi	
	
biān	
bián	
biǎn	
biàn	
bian	
	
biāo	
biáo	True
biǎo	
biào	
biao	
	
biē	
bié	
biě	
biè	
bie	
	
bīn	
bín	True
bǐn	
bìn	
bin	
	
bīng	
bíng	True
bǐng	
bìng	
bing	
	
bō	
bó	
bǒ	
bò	
bo	
	
bū	
bú	
bǔ	
bù	
bu	
	
cā	
cá	True
cǎ	
cà	
ca	
	
cāi	
cái	
cǎi	
cài	
cai	
	
cān	
cán	
cǎn	
càn	
can	
	
cāng	
cáng	
cǎng	
càng	
cang	
	
cāo	
cáo	
cǎo	
cào	
cao	
	
cē	True
cé	True
cě	
cè	
ce	
	
cēi	True
céi	True
cěi	
cèi	
cei	
	
cēn	
cén	
cěn	True
cèn	True
cen	
	
cēng	
céng	
cěng	True
cèng	
ceng	
	
chā	
chá	
chǎ	
chà	
cha	
	
chāi	
chái	
chǎi	
chài	
chai	
	
chān	
chán	
chǎn	
chàn	
chan	
	
chāng	
cháng	
chǎng	
chàng	
chang	
	
chāo	
cháo	
chǎo	
chào	
chao	
	
chē	
ché	
chě	
chè	
che	
	
chēn	
chén	
chěn	
chèn	
chen	
	
chēng	
chéng	
chěng	
chèng	
cheng	
	
chī	
chí	
chǐ	
chì	
chi	
	
chōng	
chóng	
chǒng	
chòng	
chong	
	
chōu	
chóu	
