_PY	_PYaltFULL1	_PYaltFULL2	_PYaltFULL3
yìqiū zhī hé			
yíshì wúchéng			
yìdāo liǎngduàn			
yìláo yǒngyì			
yìhū bǎiyìng			
yìhū bǎinuò			
yíchàng yíhè			
yìtuán qīhēi			
yìfān fēngshùn	yìfán fēngshùn		
yìxiāng qíngyuàn			
yìwǎng wúqián			
yìxīn yíyì			
yíyì gūxíng			
yìshǒu zhētiān			
yízhì qiānjīn	yìzhí qiānjīn		
yíbài túdì			
yírì qiānlǐ			
yígài ér lùn			
yíqì hēchéng			
yìtán sǐshuǐ			
yìpán sǎnshā			
yíxiào zhìzhī 			
yìbǐ gōuxiāo			
yìbǐ mǒshā	yìbǐ mǒshà	yìbǐ mǒsha	
yíjiàn shuāngdiāo			
yìchóu mòzhǎn			
yìzhǐ kōngwén			
yìsī bùgǒu			
yìwǎng dǎjìn			
yímài xiāngchuán			
yìliǎn núxiàng			
yìjǔ liǎngdé			
yíshì tóngrén			
yìyán táng			
yìjué búzhèn			
yìshēn shì dǎn			
yìzhēn jiànxiě	yìzhēn jiànxuè		
yímiàn zhī cí			
yímiàn dǎo			
yì gǔ zuòqì			
yì bíkǒng chūqì			
qīshàng bāxià			
qīqiào shēngyān			
sānsī ér xíng	sànsī ér xíng		
sānjiān qíkǒu			
shàngxíng xiàxiào			
shàngjìn			
shàngjìn xīn			
xiàzuo			
xiàliú			
xià qūzhú lìng			
bù zhōngyòng	bú zhòngyòng		
bù réndào			
bù yǐwéi rán			
bùlún búlèi			
bùpiān bùyǐ			
bú rùliú			
bùgōng			
bùgōng búyì			
bú gòng dàitiān			
búdào Huánghé xīn bùsǐ			
búwù zhèngyè			
bùláo ér huò			
bùkě jiùyào			
bùkě yúyuè			
bújiù jì wǎng			
bùkān yìjī	bùkān yìjí		
bùkān shèxiǎng			
bú gòugé			
búgòu zīgé			
bùxué wúshù			
bù’ān hǎo xīnyǎnr			
bùróng zhìyí			
bùhán ér lì			
bùqū			
bùqū bùnáo			
búxiè			
búxiè yígù			
bùpíng			
bùpíng zé míng			
bù rěnxīn			
búniàn jiù’è			
bùchǐ xià wèn			
búkuì búzuò			
bùdǎ zì zhāo			
bùzé shǒuduàn			
bùgǎn yuè Léichí yíbù 			
bùfú			
bù fúqì			
búwèi wǔdǒu mǐ zhéyāo			
bùgān hòu rén			
bùgān shìruò			
bùgān cífú			
bùliú yúdì			
bútòng bùyǎng			
bùbái zhī yuān			
bù xiāng shàngxià			
bùzhī sǐhuó			
bùgěi … táijié xià			
bùjīng zhī tán			
búzhì kěfǒu			
bújiàn guāncai bù liúlèi			
bújì qíshù			
bújì qián xián			
búshè chéngfǔ			
bùjiǎng qíngmiàn			
bù shízì	bú shìzì		
bùshí táiju	bùshì táiju	bùshí táijǔ	bùshì táijǔ
bùyí yúlì			
búlòu fēngmáng	búlù fēngmáng		
bùchǐ			
shìgù			
diūliǎn			
bìngjià qíqū			
zhòngshāng	zhōngshāng		
Zhōngguó tōng			
zhōngliú dǐzhù			
zhōngkàn bù zhōngyòng	zhòngkàn bú zhòngyòng		
zhòngjì			
chuàntōng			
chuàntōng yíqì			
zhǔshǐ			
zhǔshǐ zhě			
zhǔdòng			
zhǔdòng qǐngyīng			
zhǔfàn			
zhǔmóu			
guāiguāi pái			
chéng rénzhī wēi			
chéngxū ér rù			
jiǔsǐ yìshēng			
gāncuì			
gāncuì lìluo	gāncuì lìluò		
luànchén zéizǐ			
luànshuō			
liǎo wú jùsè			
shìhòu Kǒngmíng			
shìhòu Zhūgě Liàng			
shì bì gōngqīn			
èrnǎi			
èrxīn			
hùxiāng biāobǎng			
wángmìng zhī tú			
